artist,song,data
 Draaco Aventura ,GoGo Twerk,Verse 1: I know you see me Watching  thats twice you've locked eyes with me Entranced by your hips  that look on your face You know I wanna come over there  and dance with you Oh Girl I wanna feel  that big booty grind on me Feel it Grind on me I know by the way that you walk  and the way you move That loving you have is something  of supreme quality Your awakening a giant  But Girl you have no Fear Your a Sensual Goddess  and I know  that you can steer Your awakening a giant  its hard  I know you can feel Your a Sensual Goddess Bridge: Oh please  Grant Me my fantasy  and let Let me see you  GoGo twerk for me Chorus: GoGo Twerk  twerk  twerk (Repeated) Hook: Now move to the Side unh  unh Other side unh  unh Now wobble down honey unh  unh Now wiggle up uh  uh Lets get it going No time to waist We came around here to watch you shake that cake Lets go girl Dip it low Girl Now look back Mami work that cat You get anything you want when you work like that Now go  slow  oh Now move to the Side unh  unh Other side unh  unh Now wobble down honey unh  unh Now wiggle up uh  uh Lets get it going No time to waist We came around here to watch you shake that cake Lets go girl Dip it low Girl Now look back Mami work that cat You get anything you want when you work like that Now go  slow  oh Verse 2: Now that we're dancing  I'm more intrigued by who you are You place my hands on your hips  and show me  why your a star I'm so happy that I came here  to dance with you O girl I love to  feel  when that big booty grinds on me When it grinds on me Now I know by the way that you talk  and the way  you ride  the groove This wild night  that we're working on  is way over-due I hope that by the nights end  we could share a drink or two Your a Sensual Goddess  Oh the things that we could do I hope that by the nights end  it will be me  who leaves with you Your a Sensual Goddess Bridge: O Please Grant Me my fantasy  and let Let me see you  GoGo Twerk For Me Chorus: GoGo Twerk  Twerk  Twerk (Repeated) Hook: Now move to the Side unh  unh Other side unh  unh Now wobble down honey unh  unh Now wiggle up uh  uh Lets get it going No time to waist We came around here to watch you shake that cake Lets go girl Dip it low Girl Now look back Mami work that cat You get anything you want when you work like that Now go  slow  oh Now move to the Side unh  unh Other side unh  unh Now wobble down honey unh  unh Now wiggle up uh  uh Lets get it going No time to waist We came around here to watch you shake that cake Lets go girl Dip it low Girl Now look back Mami work that cat You get anything you want when you work like that Now go  slow  oh Outro: Tu Moreno Favorito Mami - Draaco AventuraEmbedShare URLCopyEmbedCopy
 Chris Janson ,Drunk Girl,"Couple cover charge stamps got her hand looking like a rainbow In and out of every bar on a whim just like the wind blows She's either a bachelorette or coming off a breakup Take a drunk girl home She's bouncing like a pinball Singing every word she never knew Dancing with her eyes closed like she's the only one in the room Her hair's a perfect mess  falling out of that dress Take a drunk girl home  Take a drunk girl home Let her sleep all alone Leave her keys on the counter your number by the phone Pick up her life she threw on the floor Leave the hall lights on walk out and lock the door That's how she knows the difference between a boy and man Take a drunk girl home  You leave her drive for a dive and you get something bad to eat They're singing ""Closing Time"" at that little bar across the street In two by twos  strangers and lovers headed for the covers  hooking up That TV in your two bedroom sounds turned off And through the paper-thin walls  you can hear the neighbor’s cigarette cough There's a million things you could be doing  but there's one thing you're damn sure glad you did Take a drunk girl home Let her sleep all alone Leave her keys on the counter your number by the phone Pick up her life she threw on the floor Leave the hall lights on walk out and lock the door That's how ya know the difference between a boy and man You take a drunk girl home  You took a drunk girl home In the sober light of dawn She left you a message she thanks you on the phone 'Cause you picked up her life she threw on the floor You left the hall lights on walked out and locked the door That's how she knows the difference between a boy and man Take a drunk girl home You take a drunk girl home Take a drunk girl home1EmbedShare URLCopyEmbedCopy"
 Chris Janson ,Buy Me a Boat,I ain’t rich  but I damn sure wanna be Working like a dog all day  ain’t working for me I wish I had a rich uncle that’d kick the bucket And that I was sitting on a pile like Warren Buffett I know everybody says Money can’t buy happiness  But it could buy me a boat  it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some silver bullets Yeah  and I know what they say Money can’t buy everything Well  maybe so But it could buy me a boat  They call me redneck  white trash and blue collar But I could change all that if I had a couple million dollars I keep hearing that money is the root of all evil And you can’t fit a camel through the eye of a needle I’m sure that’s probably true But it still sounds pretty cool  ‘Cause it could buy me a boat  it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some silver bullets Yeah  and I know what they say Money can’t buy everything Well  maybe so But it could buy me a boat To float down on the water with a beer… I hear the Powerball Lotto is a-sitting’ on a hundred mill… Well  that would buy me a brand new rod and reel…  And it could buy me a boat  it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some Silver Bullets Yeah  and I know what they say Money can’t buy everything Well  maybe so But it could buy me a boat  Yeah  and I know what they say Money can’t buy everything Well  maybe so But it could buy me a boat It could buy me a boat6EmbedShare URLCopyEmbedCopy
 Chris Janson ,Holdin’ Her,Well  I woke up in places that I couldn't remember Who's lyin' next to me or even how I got there And that's hard to believe but that's how I used to roll  One Tuesday night  in an underground pool hall That's where I saw her for the first time  right around last call She stole my heart and I started walkin' down a new road  And  oh  when I'm holdin' her It's like peace on Earth Where time stands still And love's the only thing  yeah  that I feel When she's in my arms No matter where we are Well  I am right at home When I'm holdin' her  Now  on a park bench down on 4th Street  that's where I popped the question And to my amazement  she actually said yes Tears filled my eyes as I slipped a ring on her hand  Oh  then a few short years later God put into my world A 6 pound and 8 ounce sweet baby girl And ever since that day  let me tell you now  I became a brand new man Because when I'm holdin' her It's like peace on Earth Where time stands still And love's the only thing  yeah  that I feel When she's in my arms No matter where... no matter where we are Well  I am right at home When I'm holdin' her  I am right at home When I'm holdin' herEmbedShare URLCopyEmbedCopy
 Chris Janson ,Fix a Drink,Well it's hotter than hell outside right now It's 100 in the shade with the sun beating down Forecast calling for some more of the same Well I can't fix that but I can fix a drink  I turn on Fox news and then CNN But it's the same dang thing all over again The world's in the toilet and the market's in the tank Well I can't fix that  no  But I can fix a drink  pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed  I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips  take a little sip Tell me what you think  yeah I can fix a drink  Say you gotta broken phone and a broken heart The boss is on your back and your truck won't start None of your friends want to listen to Hank Well I can't fix that  no But I can fix a drink  pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed  I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips  take a little sip Tell me what you think  yeah I can fix a drink  I don't know what's going on with you But if you got some cheap whisky and some Mountain Dew Malibu  Cuervo  Coke in a cup Brother I can hook you up  But I can fix a drink  pour it on ice Mix it on up and get'cha feeling right I can get'cha buzzed  I can get'cha smiling I can make you feel like you're sitting on an island I can make it fruity or I can make it strong All you gotta do is tell me what you want Put it to your lips  take a little sip Tell me what you think  yeah I can fix a drink Yeah  I can fix a drinkEmbedShare URLCopyEmbedCopy
 Chris Janson ,Good Vibes,I ain't watching TV today Bad news  it can just stay away If you ain’t got anything good to say Then shut your mouth I got my windows down and my blinders on Radio set to my favorite song All green lights on the road I'm on Man  there ain't no doubt  I’m getting them good vibes I'm living this good life I'm breathing on God's time And I ain't gonna waste one breath I'm soaking it all up I got me a full cup And there ain't nothing gonna spill it Nothing gonna kill it Waving them worries goodbye I'm feeling them good vibes  I ain’t tryna hear the negative I’m just tryna change the narrative It's simply imperative That we all have a damn good time I’m getting them good vibes I'm living this good life I'm breathing on God's time And I ain’t gonna waste one breath I'm soaking it all up I got me a full cup And there ain't nothing gonna spill it Nothing gonna kill it Waving them worries goodbye I'm feeling them good vibes Oh  I'm feeling them good vibes  I got a good girl She got a good smile I kiss her good morning I kiss her good night We keep it on the up That's how we get down So don't be coming around  Unless you got them good vibes I'm living this good life I'm breathing on God's time And I ain't gonna waste one breath I'm soaking it all up I got me a full cup And there ain't nothing gonna spill it Nothing gonna kill it Waving them worries goodbye I'm feeling them good vibes I'm breathing on God's time And I ain't gonna waste one breath I'm soaking it all up I got me a full cup And there ain't nothing gonna spill it Nothing gonna kill it Waving them worries goodbye I'm feeling them good vibes Oh  I'm feeling them good vibes Yeah2EmbedShare URLCopyEmbedCopy
 Chris Janson ,Everybody,Everybody wanna get rich nobody wants to work Everybody wants to fall in love  but nobody wants to get hurt Nobody wants to punch that clock  but everybody wants to get paid Nobody wants to make love no more everybody just wanna get laid  Everybody wanna be famous Everybody wants to be a superstar Everybody wants to know what it's like to go driving in a real fast car And everybody wants to be Hollywood and everybody wants to shine Well I don't really care what everybody does  baby I just wanna make you mine  Everybody wants to be history  but nobody wants to make it Everybody wants to be in the picture  but nobody wants to take it Everybody wants to change the world  but nobody wants to change their mind And everybody got a good reason baby  but nobody got a good rhyme hey  Everybody wanna be famous Everybody wants to be a superstar Everybody wants to know what it's like to go driving in a real fast car And everybody wants to be Hollywood and everybody wants to shine Well I don't really care what everybody does  baby I just wanna make you mine hey Everybody's overthinking it and everything's falling apart Meanwhile  Bruce is bringing and we're dancing in the dark yeah that's right  Everybody wanna be famous Everybody wants to be a superstar Everybody wants to know what it's like to go driving in a real fast car And everybody wants to be Hollywood and everybody wants to shine Well I don't really care what everybody does  baby I just wanna make you mine hey Yeah I just wanna make you mineEmbedShare URLCopyEmbedCopy
 Chris Janson ,Done,Done The first time I saw you  done By the first dance was through  I was done That one kiss I knew There was nothing I wouldn't do just to give you  That house on the hill with the 4-plank around it Every last breath 'til the last star is counted Just say the word  girl Paint me your perfect I won't quit 'til the good Lord says my work is done Like a faded out song on the radio  done Like the cowboy gets the girl when the credits roll I'd give you a lifetime of days in the sun Whatever you need and you want I won't stop 'til it's done  Done All the hell I was raising  done All the careless heart-breaking  done For the chance that you're taking I spend my nights praying and all my days chasing That house on the hill with the 4-plank around it Every last breath 'til the last star is counted Just say the word  girl Paint me your perfect I won't quit 'til the good Lord says my work is done Like a faded out song on the radio  done Like the cowboy gets the girl when the credits roll I'd give you a lifetime of days in the sun Whatever you need and you want I won't stop 'til it's done  You know I won't stop 'til it's done You need a man you can lean on  done You need some faith you can hang your dreams on Check 'em off one by one  And that house on the hill with the 4-plank around it Every last breath 'til the last star is counted Just say the word  girl Paint me your perfect I won't quit 'til the good Lord says my work is done Like a faded out song on the radio  done Like the cowboy gets the girl when the credits roll I'd give you a lifetime of days in the sun Whatever you need and you want I won't stop 'til it's done Baby  I won't stop 'til it's done Oh you know I ain't done First time I saw you  doneEmbedShare URLCopyEmbedCopy
 Chris Janson ,Bein’ a Dad,So much for picking up when we want to and just going No more drop of a hat packing a back and getting gone Ain't had a chance to sleep in since I don't know when Goodbye to thinking you were the only one in the world worth holding on to Even if I could I wouldn't change a thing Cause God I love bein' a Dad  These hand prints and these drawings on the walls in the halls can drive me crazy Got keep anything that means anything way out of reach That brand new bike is laying out there in the yard and it's raining I tell them over and over and over They don't practice what I preach I tried to  but I can't stay mad Oh man I love bein' a Dad  It keeps me young  it takes me back It makes me cry  it makes me laugh It's what I do  it's why I breath My flesh and blood  my legacy It;s the hardest and most rewarding job I've ever had Ain't nothing like bein' a Dad  We got these old training wheels we don't know what to do with Before we know it they'll outgrow those bikes in the yard And just like that they'll be driving like there's nothing to it We'll help them pack and wave goodbye as they leave in their new used car I guess we'll get our old lives back  but I ain't looking forward to that Man I love bein' a Dad It keeps me young  it takes me back It makes me cry  it makes me laugh It's what I do  it's why I breath My flesh and blood  my legacy It's the hardest and most rewarding job I've ever had Ain't nothing like bein' a Dad  God I love bein' a DadEmbedShare URLCopyEmbedCopy
 Chris Janson ,Little Bit of Both,Yeah you fall somewhere 'tween a preppy and a hippie at a third row country concert You got your hands up singing and your short skirt swinging Hell you even better bought a t-shirt But you'll be churching with your mama come Sunday morning trying to shake off Saturday night But you're a little straight A and a little cray cray Girl you sound like you're just my type  that's right Well I like a little bit of bad girl And I like a little bit of sweet And I like a little boom boom in a room And a little chicken picking on a six string And I like a little bit of whiskey And I don't mind a little bit of smoke A little truck shock squeaking A little good book preaching I like a little bit of both Like a little bit of both A little bit of both Girl you keep it so fresh Girl you keep it so dope Girl you're like Cinderella in a blender With a little bit of wicked witch kicking in the mix You got a Route 44 Raspberry Cherry Coke But you spike it with a little Seagrams And them low cut Levi's Surprise  surprise There's a little black lace beneath 'em You're a naughty little wine in a hip hop line You're a William Shakespeare sonnet Jerry  Jeff  JAY Z You got the middle of a backseat Baby with your nickname on it Yeah  I like a little bit of bad girl And I like a little bit of sweet And I like a little boom boom in a room And a little chicken picking on a six string And I like a little bit of whiskey And I don't mind a little bit of smoke A little truck shock squeaking A little good book preaching I like a little bit of both Like a little bit of both A little bit of both Girl you keep it so fresh Girl You keep it so dope Girl you like Cinderella in a blender With a little bit of wicked witch kicking in the mix hey Yeah  I like a little bit of bad girl and I like a little bit of sweet And I like a little boom boom in a room And a little chicken picking on a six string And I like a little bit of whiskey And I don't mind a little bit of smoke A little truck shock squeaking A little good book preaching I like a little bit of both Like a little bit of both A little bit of both Girl you keep it so fresh Girl you keep it so dope Girl you're like Cinderella in a blender With a little bit of wicked witch kicking in the mix yeahEmbedShare URLCopyEmbedCopy
